date(UTC),requests,impressions,revenue($)
20191001,0,0,0
20191002,79095100,20395,5.944
20191003,80924280,17517,6.193
20191004,84372080,10272,2.784
20191005,84010340,20399,6.086
20191006,85461520,12521,5.819
20191007,87493580,36420,11.111
20191008,88997200,14273,4.302
20191009,94173740,40272,12.023
20191010,97579160,41804,12.438
20191011,98410640,16529,7.673
20191012,97226080,11282,5.207
20191013,95346980,8324,3.384
20191014,95508220,13929,5.021
20191015,93581480,16927,11.298
20191016,106156740,15864,8.307
20191017,100702140,36128,18.254
20191018,88339500,18768,9.395
20191019,80212500,7785,4.480
20191020,81699080,48401,18.169
20191021,79655780,10935,5.150
20191022,79888780,8113,4.401
20191023,77476580,28084,19.731
20191024,78713860,58984,32.612
20191025,75933200,34705,23.261
20191026,78064440,67138,35.565
20191027,79173180,37683,25.095
20191028,79851300,34516,20.786
20191029,87365520,51037,24.790
20191030,86873280,68206,30.808
sum,2522286280,807211,380.087
