date(UTC),impressions,spends($)
20191001,0,0.000
20191002,14218,1.713
20191003,21209,3.123
20191004,14215,1.749
20191005,9520,1.325
20191006,15116,1.989
20191007,24615,2.813
20191008,22294,2.554
20191009,74996,7.787
20191010,193141,18.316
20191011,101489,9.851
20191012,25540,2.997
20191013,30181,3.517
20191014,43556,5.002
20191015,28446,3.759
20191016,10595,2.373
20191017,10126,2.788
20191018,17598,3.826
20191019,6135,1.331
20191020,3570,0.772
20191021,850,0.140
20191022,5162,1.388
20191023,7213,1.801
20191024,4131,1.206
20191025,3751,1.267
20191026,3207,0.922
20191027,6709,1.735
20191028,6536,1.715
20191029,8635,2.877
